,latitude,longitude,police_500,police_1000,police_3000,hospital_500,hospital_1000,hospital_3000,shopping_mall_500,shopping_mall_1000,shopping_mall_3000,library_500,library_1000,library_3000,bus_station_500,bus_station_1000,bus_station_3000,university_500,university_1000,university_3000,primary_school_500,primary_school_1000,primary_school_3000,church_500,church_1000,church_3000,night_club_500,night_club_1000,night_club_3000,supermarket_500,supermarket_1000,supermarket_3000,subway_station_500,subway_station_1000,subway_station_3000,park_500,park_1000,park_3000
臺北市文山區忠順街二段85巷15號4樓,24.9862857,121.5656149,2,2,15,4,5,31.0,0,0,4.0,2,8,30,2,3.0,49.0,2,16,45.0,1,7,26,9,20.0,60.0,1,1,5,9,11,37.0,0,0,8,7,30,60
臺北市文山區福興路96號3樓之4,25.0058737,121.5499859,0,3,18,0,3,60.0,0,0,12.0,1,2,47,0,5.0,60.0,2,10,60.0,3,7,36,1,9.0,60.0,0,3,15,1,6,55.0,0,1,10,7,22,60
臺北市中正區和平西路一段59號9樓之20,25.026712,121.5194887,1,10,13,18,27,35.0,0,5,12.0,6,20,34,5,19.0,30.0,0,16,27.0,3,7,12,22,50.0,60.0,1,4,5,6,11,28.0,1,2,4,10,42,60
臺北市文山區樟新街56巷22號4樓,24.9776553,121.5548004,1,1,20,0,3,60.0,0,4,12.0,1,2,43,0,3.0,60.0,0,1,49.0,0,2,34,0,4.0,60.0,0,0,13,2,8,60.0,0,0,10,5,15,60
臺北市文山區木柵路四段１５９巷１７０弄１１號五樓,25.00341,121.577506,0,0,7,0,1,22.0,0,0,2.0,0,1,20,0,10.0,27.0,0,0,27.0,1,1,11,0,6.0,46.0,0,0,2,0,1,22.0,0,2,6,1,13,60
臺北市文山區興隆路３段112巷4弄18號5樓,24.998995,121.5564725,1,4,18,16,18,60.0,0,0,5.0,1,3,42,5,7.0,58.0,7,8,60.0,1,7,31,3,17.0,60.0,1,1,9,2,5,47.0,1,2,9,1,22,60
臺北市大同區民生西路112號4樓之2,25.0573789,121.51959,4,18,26,17,49,60.0,4,43,58.0,4,20,26,2,24.0,48.0,4,11,31.0,4,10,14,4,48.0,60.0,4,60,60,2,21,34.0,1,5,8,10,36,60
臺北市大同區酒泉街189號2樓,25.072221,121.5121867,3,5,10,3,8,13.0,3,4,9.0,2,5,9,2,11.0,22.0,0,5,16.0,1,6,9,6,15.0,30.0,1,4,7,2,5,11.0,0,1,3,10,23,43
臺北市萬華區寶興街80巷24號二樓,25.0256298,121.4937734,1,4,8,7,9,12.0,1,1,3.0,1,3,6,0,4.0,14.0,0,2,2.0,1,10,11,7,19.0,21.0,4,4,6,5,15,24.0,0,0,1,10,29,57
臺北市萬華區莒光路２８３巷１５之１號三樓,25.0305685,121.4997228,3,11,12,2,26,44.0,2,6,6.0,1,10,16,7,17.0,22.0,1,3,9.0,3,13,15,6,26.0,41.0,1,10,12,7,25,35.0,0,1,2,6,50,60
臺北市中正區林森南路69號九樓,25.039528,121.5220233,1,12,28,15,49,60.0,1,14,39.0,8,34,45,4,33.0,59.0,11,29,49.0,1,4,8,7,44.0,60.0,0,3,30,4,14,21.0,0,5,7,5,37,58
臺北市萬華區雙園街４０巷２３號四樓,25.029193,121.4938447,1,7,10,6,18,23.0,1,3,6.0,2,5,6,0,10.0,17.0,1,2,2.0,3,8,13,6,18.0,23.0,4,7,10,5,17,26.0,0,1,1,9,40,55
臺北市萬華區東園街３０號六樓之１,25.027052,121.495833,1,6,8,7,10,19.0,1,3,6.0,1,5,7,0,10.0,16.0,1,2,2.0,4,11,12,9,20.0,27.0,4,6,9,6,19,29.0,0,1,1,7,35,60
臺北市萬華區東園街３０號六樓之３,25.027052,121.495833,1,6,8,7,10,19.0,1,3,6.0,1,5,7,0,10.0,16.0,1,2,2.0,4,11,12,9,20.0,27.0,4,6,9,6,19,29.0,0,1,1,7,35,60
臺北市萬華區東園街３０號九樓,25.027052,121.495833,1,6,8,7,10,19.0,1,3,6.0,1,5,7,0,10.0,16.0,1,2,2.0,4,11,12,9,20.0,27.0,4,6,9,6,19,29.0,0,1,1,7,35,60
臺北市中山區林森北路５３６號二樓之６,25.0637616,121.5254536,1,2,15,19,48,60.0,5,11,21.0,3,11,18,3,18.0,39.0,9,21,24.0,3,7,12,17,40.0,58.0,26,51,60,8,18,34.0,1,4,6,12,44,60
臺北市內湖區康樂街186巷19號7樓,25.0769524,121.6203954,0,1,13,0,1,52.0,1,3,11.0,0,1,12,0,4.0,47.0,0,0,13.0,0,1,17,0,2.0,50.0,0,0,7,1,5,47.0,0,0,6,4,17,60
臺北市內湖區內湖路一段411巷62弄6號9樓之2,25.0835964,121.5712804,1,3,12,4,9,58.0,1,3,33.0,1,3,18,0,10.0,53.0,1,10,48.0,3,4,20,6,14.0,60.0,0,0,8,5,14,55.0,1,2,7,8,34,60
臺北市內湖區大湖街131巷41弄10號,25.086449,121.600925,1,3,11,1,4,60.0,0,0,9.0,0,0,10,2,7.0,35.0,0,1,29.0,1,3,14,4,8.0,52.0,1,3,6,2,3,40.0,1,2,6,11,31,60
臺北市中山區新生北路二段96號八樓之19,25.0591769,121.5272227,2,5,13,20,57,60.0,7,23,34.0,3,13,21,1,21.0,44.0,3,13,27.0,1,6,13,7,42.0,60.0,42,60,60,5,22,29.0,1,6,6,9,43,60
臺北市內湖區民權東路六段１８０巷４２弄５３號五樓之１,25.067113,121.5912173,1,1,25,1,23,60.0,1,2,38.0,1,4,21,0,2.0,60.0,2,13,35.0,1,1,31,3,5.0,60.0,0,0,17,1,3,60.0,0,0,13,7,21,60
臺北市內湖區新明路２９１號,25.0573444,121.5859036,1,5,15,0,8,60.0,0,6,35.0,0,1,25,0,2.0,50.0,0,2,25.0,2,3,27,2,7.0,60.0,0,3,23,0,6,60.0,0,0,7,7,25,60
臺北市中山區林森北路５８５號五樓之３,25.0659915,121.525869,0,3,11,19,42,57.0,1,9,16.0,3,9,16,3,17.0,34.0,11,19,24.0,3,5,9,16,36.0,53.0,8,39,54,7,18,32.0,1,3,6,10,47,60
臺北市信義區松仁路308巷111號2樓,25.0200066,121.570943,0,0,17,0,1,60.0,0,0,38.0,0,2,26,0,0.0,60.0,0,2,42.0,0,2,20,0,5.0,60.0,0,1,37,1,4,55.0,0,0,11,5,16,60
臺北市南港區成福路194巷1弄2號三樓,25.0408709,121.5877258,0,1,21,0,17,47.0,0,2,55.0,3,6,26,0,4.0,48.0,1,1,30.0,2,8,21,6,18.0,60.0,2,5,36,1,11,46.0,0,1,7,13,38,60
臺北市南港區園區街４８號十一樓之３,25.0592427,121.612155,2,6,18,2,5,60.0,0,5,19.0,0,3,29,9,22.0,50.0,0,0,31.0,2,4,24,3,11.0,51.0,0,2,6,1,4,51.0,1,4,7,9,35,60
臺北市信義區林口街１７６號七樓之１,25.040623,121.58086,0,3,8,8,28,33.0,0,3,6.0,3,11,13,2,10.0,18.0,0,3,5.0,2,10,14,14,33.0,42.0,7,11,13,7,16,22.0,1,2,3,11,43,60
臺北市松山區復興南路一段６３號十二樓之１,25.0450789,121.544121,1,4,7,19,60,60.0,14,33,50.0,5,12,19,6,33.0,51.0,5,19,28.0,2,7,11,12,49.0,60.0,11,35,45,8,20,31.0,1,3,5,11,33,60
臺北市北投區吉利街２８０巷２７弄６號四樓,25.1176846,121.5102648,0,7,12,2,12,60.0,1,2,12.0,4,8,20,3,12.0,43.0,7,21,34.0,2,5,21,6,14.0,60.0,0,3,12,8,13,58.0,0,2,7,8,27,60
臺北市北投區中山北路七段219巷3弄73號5樓,25.127716,121.530806,1,1,8,1,2,60.0,0,0,9.0,0,3,21,0,0.0,17.0,0,2,45.0,0,1,18,2,8.0,57.0,0,1,6,3,7,46.0,0,0,3,6,19,60
臺北市士林區德行東路３３１巷３６弄１號四樓,25.1117807,121.5385617,0,0,16,1,31,60.0,1,5,15.0,1,6,30,0,0.0,44.0,1,5,60.0,1,5,23,3,13.0,60.0,1,1,9,1,13,49.0,0,0,4,0,10,60
臺北市士林區小北街２８號五樓之１,25.0907025,121.5253154,3,5,17,1,30,60.0,7,8,24.0,0,6,22,9,14.0,46.0,9,10,43.0,1,3,19,4,23.0,60.0,2,5,14,1,7,46.0,1,2,6,5,28,60
臺北市士林區福林路１００巷１７號四樓,25.0954372,121.5312672,0,4,14,3,7,60.0,0,3,23.0,1,2,25,3,10.0,36.0,0,0,41.0,1,3,21,8,23.0,60.0,0,0,13,3,5,54.0,0,1,5,15,33,60
臺北市大安區青田街１２巷２１號五樓,25.027194,121.530682,1,1,5,4,27,50.0,4,12,17.0,6,19,30,5,27.0,34.0,15,28,50.0,2,12,18,10,59.0,60.0,0,3,4,4,19,27.0,0,4,5,16,52,60
臺北市大安區建國南路二段39巷5號7樓,25.0321793,121.5385571,1,6,40,4,37,60.0,1,11,60.0,4,14,60,6,29.0,60.0,3,9,60.0,1,11,45,2,45.0,60.0,1,3,60,4,15,60.0,1,3,21,14,40,60
