,subway_station_500m,subway_station_1000m,subway_station_3000m,police_500m,police_1000m,police_3000m,primary_school_500m,primary_school_1000m,primary_school_3000m,university_500m,university_1000m,university_3000m,library_500m,library_1000m,library_3000m,night_club_500m,night_club_1000m,night_club_3000m,shopping_mall_500m,shopping_mall_1000m,shopping_mall_3000m,supermarket_500m,supermarket_1000m,supermarket_3000m,bus_station_500m,bus_station_1000m,bus_station_3000m,park_500m,park_1000m,park_3000m,church_500m,church_1000m,church_3000m,hospital_500m,hospital_1000m,hospital_3000m,Transaction Date,Total Cost(NTD),Cost per Sqaure Meter,Building Completion Date,Transacted Floor,Total Floor,Total Area Transacted (Sqaure Meter),Bed Rooms,Living/Dining Rooms,Bathrooms,Main construction Method,Type of Building,transaction year,time delta,time delta year,500_label,1km_label,3km_label,500_price_label,1km_price_label,3km_price_label,house_no_price_label,house_price_label,latitude,longitude,geometry,TOWNCODE,TOWNNAME,VILLNAME,VILLENG,TOWNNAME_EN,COUNTYNAME,TTL_INCOME,AVG,MEDIAN,QUANTILE1,QUANTILE3,STD,VAR,edu_age_15up_total,edu_doctor,edu_master,edu_undergrad,edu_cc,edu_senior,edu_junior,edu_primary
0,0.0,0.0,8.0,2.0,2.0,15.0,1.0,7.0,26.0,2.0,16.0,45.0,2.0,8.0,30.0,1.0,1.0,5.0,0.0,0.0,4.0,9.0,11.0,37.0,2.0,3.0,49.0,7.0,30.0,60.0,9.0,20.0,60.0,4.0,5.0,31.0,2020-04-06,36000000,156583,2013-01-03,4,15.0,229.91,3,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,2650 days,7.0,2,0,1,3,3,3,0,1,24.9862857,121.5656149,POINT (121.5656149 24.9862857),63000080.0,文山區,忠順里,Zhongshun Vil.,Wenshan,臺北市,1739111.0,1166.0,624.0,289,1415,1988.56,170.49,3773.0,62.0,450.0,1236.0,471.0,610.0,158.0,194.0
1,0.0,0.0,8.0,1.0,2.0,15.0,1.0,7.0,30.0,0.0,5.0,47.0,1.0,8.0,32.0,0.0,2.0,7.0,0.0,0.0,5.0,3.0,13.0,52.0,3.0,5.0,51.0,17.0,35.0,60.0,7.0,20.0,60.0,5.0,5.0,45.0,2020-05-28,2300000,62398,1995-11-22,6,13.0,36.87,2,1,1,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,8954 days,24.0,2,0,1,1,1,1,2,1,24.9855374,121.5615068,POINT (121.5615068 24.9855374),63000080.0,文山區,忠順里,Zhongshun Vil.,Wenshan,臺北市,1739111.0,1166.0,624.0,289,1415,1988.56,170.49,3773.0,62.0,450.0,1236.0,471.0,610.0,158.0,194.0
2,0.0,0.0,8.0,2.0,2.0,15.0,1.0,8.0,27.0,2.0,10.0,45.0,2.0,8.0,31.0,0.0,1.0,7.0,0.0,0.0,4.0,5.0,12.0,43.0,3.0,3.0,50.0,13.0,30.0,60.0,9.0,19.0,60.0,5.0,5.0,38.0,2020-06-05,14800000,132819,1998-07-30,7,7.0,111.43,2,2,2,Reinforced Concrete,Apartment Building (Below 10F with Elevator),2020,7981 days,21.0,0,0,1,1,1,1,2,1,24.9855262,121.5641254,POINT (121.5641254 24.9855262),63000080.0,文山區,忠順里,Zhongshun Vil.,Wenshan,臺北市,1739111.0,1166.0,624.0,289,1415,1988.56,170.49,3773.0,62.0,450.0,1236.0,471.0,610.0,158.0,194.0
3,0.0,0.0,5.0,2.0,2.0,10.0,2.0,5.0,22.0,3.0,19.0,41.0,3.0,10.0,29.0,1.0,1.0,3.0,0.0,0.0,4.0,7.0,11.0,29.0,0.0,3.0,34.0,10.0,29.0,60.0,9.0,23.0,60.0,0.0,6.0,28.0,2020-06-21,7750000,130012,1995-09-07,6,7.0,59.61,3,1,1,Reinforced Concrete,Apartment Building (Below 10F with Elevator),2020,9054 days,24.0,2,0,1,1,1,1,2,1,24.986623,121.56768,POINT (121.56768 24.986623),63000080.0,文山區,忠順里,Zhongshun Vil.,Wenshan,臺北市,1739111.0,1166.0,624.0,289,1415,1988.56,170.49,3773.0,62.0,450.0,1236.0,471.0,610.0,158.0,194.0
4,0.0,0.0,8.0,1.0,2.0,15.0,1.0,7.0,26.0,2.0,14.0,45.0,4.0,7.0,30.0,0.0,1.0,5.0,0.0,0.0,4.0,8.0,11.0,38.0,3.0,3.0,49.0,8.0,32.0,60.0,9.0,22.0,60.0,4.0,5.0,33.0,2020-03-29,23250000,133536,2013-09-27,7,13.0,174.11,3,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,2375 days,6.0,2,0,1,1,1,1,0,1,24.9869035,121.5653702,POINT (121.5653702 24.9869035),63000080.0,文山區,忠順里,Zhongshun Vil.,Wenshan,臺北市,1739111.0,1166.0,624.0,289,1415,1988.56,170.49,3773.0,62.0,450.0,1236.0,471.0,610.0,158.0,194.0
5,0.0,1.0,10.0,0.0,3.0,18.0,3.0,7.0,36.0,2.0,10.0,60.0,1.0,2.0,47.0,0.0,3.0,15.0,0.0,0.0,12.0,1.0,6.0,55.0,0.0,5.0,60.0,7.0,22.0,60.0,1.0,9.0,60.0,0.0,3.0,60.0,2020-03-17,5580000,149558,1996-05-03,3,6.0,37.31,2,1,1,Reinforced Concrete,Apartment Building (Below 10F with Elevator),2020,8719 days,23.0,2,0,1,3,3,3,2,1,25.0058737,121.5499859,POINT (121.5499859 25.0058737),63000080.0,文山區,興旺里,Xingwang Vil.,Wenshan,臺北市,2525904.0,861.0,557.0,255,1157,964.76,112.03,7182.0,61.0,736.0,2296.0,866.0,1365.0,324.0,361.0
6,0.0,1.0,11.0,0.0,3.0,18.0,0.0,7.0,37.0,2.0,6.0,60.0,0.0,1.0,46.0,0.0,2.0,16.0,0.0,0.0,12.0,1.0,6.0,57.0,0.0,3.0,60.0,7.0,22.0,60.0,0.0,8.0,60.0,0.0,2.0,60.0,2020-04-09,25400000,126444,2012-08-27,1,14.0,200.88,4,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,2782 days,7.0,2,0,1,1,1,1,0,1,25.0066937,121.5497732,POINT (121.5497732 25.0066937),63000080.0,文山區,興旺里,Xingwang Vil.,Wenshan,臺北市,2525904.0,861.0,557.0,255,1157,964.76,112.03,7182.0,61.0,736.0,2296.0,866.0,1365.0,324.0,361.0
7,0.0,1.0,10.0,0.0,3.0,18.0,2.0,6.0,37.0,2.0,10.0,60.0,0.0,2.0,47.0,0.0,3.0,16.0,0.0,0.0,12.0,1.0,6.0,56.0,0.0,5.0,60.0,5.0,20.0,60.0,0.0,9.0,60.0,0.0,3.0,60.0,2020-04-20,12500000,117129,2009-12-02,2,13.0,106.72,2,2,1,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,3792 days,10.0,2,0,1,1,1,1,2,1,25.0061381,121.5501603,POINT (121.5501603 25.0061381),63000080.0,文山區,興旺里,Xingwang Vil.,Wenshan,臺北市,2525904.0,861.0,557.0,255,1157,964.76,112.03,7182.0,61.0,736.0,2296.0,866.0,1365.0,324.0,361.0
8,0.0,2.0,10.0,2.0,3.0,17.0,3.0,7.0,33.0,3.0,11.0,60.0,1.0,3.0,45.0,1.0,3.0,13.0,0.0,0.0,11.0,4.0,7.0,53.0,1.0,7.0,60.0,8.0,26.0,60.0,5.0,17.0,60.0,1.0,17.0,60.0,2020-03-20,9200000,139099,1976-10-05,3,4.0,66.14,3,2,2,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,15872 days,43.0,2,0,1,1,1,1,2,1,25.0033024,121.5512744,POINT (121.5512744 25.0033024),63000080.0,文山區,興旺里,Xingwang Vil.,Wenshan,臺北市,2525904.0,861.0,557.0,255,1157,964.76,112.03,7182.0,61.0,736.0,2296.0,866.0,1365.0,324.0,361.0
9,0.0,2.0,10.0,0.0,3.0,19.0,2.0,5.0,35.0,2.0,10.0,60.0,0.0,3.0,46.0,0.0,1.0,14.0,0.0,0.0,12.0,1.0,5.0,55.0,0.0,7.0,60.0,5.0,20.0,60.0,1.0,10.0,60.0,0.0,17.0,60.0,2020-05-29,25000000,114380,1991-04-25,1,10.0,218.57,4,3,3,Reinforced Concrete,Apartment Building (Below 10F with Elevator),2020,10627 days,29.0,2,0,1,1,1,1,0,1,25.00608,121.551581,POINT (121.551581 25.00608),63000080.0,文山區,興旺里,Xingwang Vil.,Wenshan,臺北市,2525904.0,861.0,557.0,255,1157,964.76,112.03,7182.0,61.0,736.0,2296.0,866.0,1365.0,324.0,361.0
