,TTL_INCOME,AVG,MEDIAN,edu_age_15up_total,edu_doctor,edu_master,edu_undergrad,edu_cc,edu_senior,edu_junior,edu_primary,Cost per Sqaure Meter
TTL_INCOME,1.0,0.7088199969674945,0.7190032337192662,0.6898043683731536,0.7463856976299582,0.9288102514918299,0.8821843167232216,0.6610604099670081,0.2431611477093319,-0.10235010509545898,-0.14351820685726932,0.35962016626474613
AVG,0.7088199969674945,1.0,0.9063542592802176,0.05284075817048807,0.5912904938511394,0.5905774006692727,0.3670547832587919,0.03300380069390613,-0.38623866022802306,-0.5828631263505645,-0.6145995493627212,0.6313152836199463
MEDIAN,0.7190032337192662,0.9063542592802176,1.0,0.12021224058452973,0.6760418094830651,0.6911824921701674,0.44519550946107933,0.10802311582143778,-0.3742881767385543,-0.5999267893770001,-0.6290276796942736,0.5738121479869657
edu_age_15up_total,0.6898043683731536,0.05284075817048807,0.12021224058452973,1.0,0.45886185888263487,0.7225346640131723,0.9082839068435131,0.9677581361168405,0.840735878894201,0.5569787850606838,0.5227100708767091,-0.10034942672203116
edu_doctor,0.7463856976299582,0.5912904938511394,0.6760418094830651,0.45886185888263487,1.0,0.8221490354028571,0.6470330595459827,0.38396289370460746,0.008824662057139825,-0.23260769228633704,-0.261749740195381,0.3099887546074817
edu_master,0.9288102514918299,0.5905774006692727,0.6911824921701674,0.7225346640131723,0.8221490354028571,1.0,0.913493557902663,0.6987866994738099,0.24849886950932154,-0.11710981974692335,-0.15566740538931884,0.33059052210310935
edu_undergrad,0.8821843167232216,0.3670547832587919,0.44519550946107933,0.9082839068435131,0.6470330595459827,0.913493557902663,1.0,0.905208476619343,0.5630861490461198,0.17743941617443296,0.13999597434788846,0.14938608083540247
edu_cc,0.6610604099670081,0.03300380069390613,0.10802311582143778,0.9677581361168405,0.38396289370460746,0.6987866994738099,0.905208476619343,1.0,0.811431023336402,0.4761288164500875,0.4521915329403225,-0.09345231687105698
edu_senior,0.2431611477093319,-0.38623866022802306,-0.3742881767385543,0.840735878894201,0.008824662057139825,0.24849886950932154,0.5630861490461198,0.811431023336402,1.0,0.8658725776302388,0.8343580708480804,-0.3801782196137683
edu_junior,-0.10235010509545898,-0.5828631263505645,-0.5999267893770001,0.5569787850606838,-0.23260769228633704,-0.11710981974692335,0.17743941617443296,0.4761288164500875,0.8658725776302388,1.0,0.9474120508584013,-0.49838086006423427
edu_primary,-0.14351820685726932,-0.6145995493627212,-0.6290276796942736,0.5227100708767091,-0.261749740195381,-0.15566740538931884,0.13999597434788846,0.4521915329403225,0.8343580708480804,0.9474120508584013,1.0,-0.521771419721962
Cost per Sqaure Meter,0.35962016626474613,0.6313152836199463,0.5738121479869657,-0.10034942672203116,0.3099887546074817,0.33059052210310935,0.14938608083540247,-0.09345231687105698,-0.3801782196137683,-0.49838086006423427,-0.521771419721962,1.0
