POI,importance coef
subway_station_500,9006.635580386575
subway_station_3000,2958.0874170385355
supermarket_3000,1128.3995683789158
shopping_mall_3000,912.2184127667497
church_1000,879.4311960534536
church_3000,875.0404167611844
library_3000,858.7094004109257
shopping_mall_1000,745.6507211646497
subway_station_1000,679.5335565451343
bus_station_500,594.5700342597263
hospital_1000,557.3391258816815
supermarket_1000,551.5391941061405
park_1000,551.4892039531326
bus_station_1000,512.5308107469655
primary_school_1000,425.64632232583045
university_500,418.96405557377057
library_500,298.42465684844205
police_500,289.03344614562366
night_club_500,250.73223688384962
park_500,232.90209490007183
police_3000,97.20873647291624
university_1000,27.676011584924478
park_3000,10.186487421315817
university_3000,1.3977344307106674
hospital_500,-129.84878428189836
library_1000,-165.85634231704523
shopping_mall_500,-271.9469200453355
hospital_3000,-304.227199556568
night_club_1000,-468.58985429731786
church_500,-689.3440499734434
bus_station_3000,-908.089744963319
night_club_3000,-957.2450728181545
police_1000,-1195.0535754219097
primary_school_500,-1403.2665555425067
supermarket_500,-1453.0736996732537
primary_school_3000,-2673.27397166163
