index,address,subway_station,subway_station.1,subway_station.2,police,police.1,police.2,primary_school,primary_school.1,primary_school.2,university,university.1,university.2,library,library.1,library.2,night_club,night_club.1,night_club.2,shopping_mall,shopping_mall.1,shopping_mall.2,supermarket,supermarket.1,supermarket.2,bus_station,bus_station.1,bus_station.2,park,park.1,park.2,church,church.1,church.2,hospital,hospital.1,hospital.2,latitude,longitude,Transaction Date,Total Cost(NTD),Cost per Sqaure Meter,Building Completion Date,Transacted Floor,Total Floor,Total Area Transacted (Sqaure Meter),Bed Rooms,Living/Dining Rooms,Bathrooms,Main construction Method,Type of Building,transaction year,time delta,time delta year,500_label,1km_label,3km_label,500_price_label,1km_price_label,3km_price_label,house_no_price_label,house_price_label
2,臺北市文山區忠順街二段85巷15號4樓,0.0,0.0,8.0,2.0,2.0,15.0,1.0,7.0,26.0,2.0,16.0,45.0,2.0,8.0,30.0,1.0,1.0,5.0,0.0,0.0,4.0,9.0,11.0,37.0,2.0,3.0,49.0,7.0,30.0,60.0,9.0,20.0,60.0,4.0,5.0,31.0,24.9862857,121.5656149,2020-04-06,36000000,156583,2013-01-03,4,15.0,229.91,3,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,2650 days,7.0,2,0,1,3,3,3,0,1
3,臺北市文山區福興路96號3樓之4,0.0,1.0,10.0,0.0,3.0,18.0,3.0,7.0,36.0,2.0,10.0,60.0,1.0,2.0,47.0,0.0,3.0,15.0,0.0,0.0,12.0,1.0,6.0,55.0,0.0,5.0,60.0,7.0,22.0,60.0,1.0,9.0,60.0,0.0,3.0,60.0,25.0058737,121.5499859,2020-03-17,5580000,149558,1996-05-03,3,6.0,37.31,2,1,1,Reinforced Concrete,Apartment Building (Below 10F with Elevator),2020,8719 days,23.0,2,0,1,3,3,3,2,1
4,臺北市中正區和平西路一段59號9樓之20,1.0,2.0,4.0,1.0,10.0,13.0,3.0,7.0,12.0,0.0,16.0,27.0,6.0,20.0,34.0,1.0,4.0,5.0,0.0,5.0,12.0,6.0,11.0,28.0,5.0,19.0,30.0,10.0,42.0,60.0,22.0,50.0,60.0,18.0,27.0,35.0,25.026712,121.5194887,2020-04-13,11430000,299450,2008-05-13,9,14.0,38.17,1,1,1,Other,Residential Apartment/Condo (11F+ with elevators),2020,4353 days,11.0,0,1,2,0,0,0,2,2
5,臺北市文山區樟新街56巷22號4樓,0.0,0.0,10.0,1.0,1.0,20.0,0.0,2.0,34.0,0.0,1.0,49.0,1.0,2.0,43.0,0.0,0.0,13.0,0.0,4.0,12.0,2.0,8.0,60.0,0.0,3.0,60.0,5.0,15.0,60.0,0.0,4.0,60.0,0.0,3.0,60.0,24.9776553,121.5548004,2020-03-28,18280000,147825,1990-11-27,4,6.0,123.66,3,2,2,Reinforced Concrete,Apartment Building (Below 10F with Elevator),2020,10714 days,29.0,2,0,1,3,3,3,2,1
6,臺北市文山區木柵路四段１５９巷１７０弄１１號五樓,0.0,2.0,6.0,0.0,0.0,7.0,1.0,1.0,11.0,0.0,0.0,27.0,0.0,1.0,20.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,22.0,0.0,10.0,27.0,1.0,13.0,60.0,0.0,6.0,46.0,0.0,1.0,22.0,25.00341,121.577506,2020-04-17,8000000,64386,1982-10-16,5,5.0,124.25,3,1,2,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,13698 days,37.0,2,0,2,1,1,1,2,1
7,臺北市文山區興隆路３段112巷4弄18號5樓,1.0,2.0,9.0,1.0,4.0,18.0,1.0,7.0,31.0,7.0,8.0,60.0,1.0,3.0,42.0,1.0,1.0,9.0,0.0,0.0,5.0,2.0,5.0,47.0,5.0,7.0,58.0,1.0,22.0,60.0,3.0,17.0,60.0,16.0,18.0,60.0,24.998995,121.5564725,2020-04-17,2200000,72944,1980-02-01,5,5.0,30.16,5,2,2,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,14686 days,40.0,0,0,1,1,1,1,2,1
8,臺北市大同區民生西路112號4樓之2,1.0,5.0,8.0,4.0,18.0,26.0,4.0,10.0,14.0,4.0,11.0,31.0,4.0,20.0,26.0,4.0,60.0,60.0,4.0,43.0,58.0,2.0,21.0,34.0,2.0,24.0,48.0,10.0,36.0,60.0,4.0,48.0,60.0,17.0,49.0,60.0,25.0573789,121.51959,2020-04-11,30880000,210828,2013-08-26,4,13.0,146.47,2,2,2,Reinforced Concrete,Residential Apartment/Condo (11F+ with elevators),2020,2420 days,6.0,0,3,3,3,3,3,0,0
9,臺北市大同區酒泉街189號2樓,0.0,1.0,3.0,3.0,5.0,10.0,1.0,6.0,9.0,0.0,5.0,16.0,2.0,5.0,9.0,1.0,4.0,7.0,3.0,4.0,9.0,2.0,5.0,11.0,2.0,11.0,22.0,10.0,23.0,43.0,6.0,15.0,30.0,3.0,8.0,13.0,25.072221,121.5121867,2020-01-30,13000000,143345,1971-06-03,2,4.0,90.69,2,2,1,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,17773 days,48.0,2,0,2,1,1,1,2,1
10,臺北市萬華區寶興街80巷24號二樓,0.0,0.0,1.0,1.0,4.0,8.0,1.0,10.0,11.0,0.0,2.0,2.0,1.0,3.0,6.0,4.0,4.0,6.0,1.0,1.0,3.0,5.0,15.0,24.0,0.0,4.0,14.0,10.0,29.0,57.0,7.0,19.0,21.0,7.0,9.0,12.0,25.0256298,121.4937734,2020-04-22,7700000,115546,1973-05-28,2,4.0,66.64,3,2,1,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,17131 days,46.0,2,0,2,1,1,1,2,1
11,臺北市萬華區莒光路２８３巷１５之１號三樓,0.0,1.0,2.0,3.0,11.0,12.0,3.0,13.0,15.0,1.0,3.0,9.0,1.0,10.0,16.0,1.0,10.0,12.0,2.0,6.0,6.0,7.0,25.0,35.0,7.0,17.0,22.0,6.0,50.0,60.0,6.0,26.0,41.0,2.0,26.0,44.0,25.0305685,121.4997228,2020-04-22,4000000,105152,1975-04-28,3,4.0,38.04,3,1,2,Reinforced Concrete,Apartment (Below 5F without Elevator),2020,16431 days,44.0,2,2,2,1,1,1,2,1
