COUNTY_ID,TOWN_ID,TOWN,Number of Households,Population Total,Population_male,Population_female
63000,63000010,Songshan District,79087,187993,87789,100204
63000,63000020,Xinyi District,87548,202368,96009,106359
63000,63000030,Daan District,117511,281411,131036,150375
63000,63000040,Zhongshan District,99000,210776,97332,113444
63000,63000050,Zhongzheng District,64604,146970,69795,77175
63000,63000060,Datong District,52114,118354,57128,61226
63000,63000070,Wanhua District,78431,172819,84211,88608
63000,63000080,Wenshan District,106900,256418,122248,134170
63000,63000090,Nangang District,47777,113612,55193,58419
63000,63000100,Neihu District,109831,271749,129053,142696
63000,63000110,Shilin District,106729,263360,126822,136538
63000,63000120,Beitou District,97737,239780,114806,124974
